asset_id,modality,subject,quality_score,revisions,ai_hours,estimated_manual_hours,hours_saved,approved_first_pass
GA-001,Image,Science,89.5,0,1.4,3.1,1.7,1
GA-002,Image,English,84.3,0,5.2,9.1,3.9,1
GA-003,Lecture,GK,87.4,1,5.3,14.4,9.1,0
GA-004,Lecture,English,84.8,1,3.1,10.1,7.0,0
GA-005,Animation,EVS,84.9,3,3.5,6.9,3.4,0
GA-006,Voice,Mathematics,90.0,1,7.0,19.5,12.5,0
GA-007,Animation,Science,83.2,0,4.8,16.6,11.8,1
GA-008,Voice,English,87.7,0,5.1,15.1,10.0,1
GA-009,Voice,Hindi,84.2,2,7.9,25.6,17.7,0
GA-010,Video,Mathematics,92.9,0,3.7,7.7,4.0,1
GA-011,Image,Mathematics,90.5,1,5.3,10.6,5.3,0
GA-012,Lecture,EVS,91.8,1,2.7,6.2,3.5,0
GA-013,Video,Science,97.7,0,6.8,21.4,14.6,1
GA-014,Voice,Mathematics,90.6,2,2.6,6.8,4.2,0
GA-015,Animation,GK,82.5,1,2.2,4.3,2.1,0
GA-016,Lecture,Science,84.3,3,3.9,8.2,4.3,0
GA-017,Animation,GK,85.3,0,1.8,3.2,1.4,1
GA-018,Lecture,Science,81.0,3,1.6,3.8,2.2,0
GA-019,Voice,Science,88.9,0,7.8,25.3,17.5,1
GA-020,Voice,English,84.3,0,6.4,14.8,8.4,1
GA-021,Animation,Science,94.9,1,1.2,3.6,2.4,0
GA-022,Image,Science,87.5,1,7.1,15.9,8.8,0
GA-023,Video,EVS,90.8,0,2.2,6.8,4.6,1
GA-024,Lecture,Hindi,82.6,2,3.4,5.9,2.5,0
GA-025,Video,EVS,91.0,2,1.6,5.2,3.6,0
GA-026,Lecture,Science,92.2,0,6.4,12.4,6.0,1
GA-027,Video,Mathematics,91.1,0,3.0,9.8,6.8,1
GA-028,Video,Hindi,93.2,1,6.0,14.5,8.5,0
GA-029,Animation,Science,90.7,0,7.3,18.3,11.0,1
GA-030,Video,EVS,88.9,1,5.2,8.9,3.7,0
GA-031,Video,GK,86.9,0,1.7,3.0,1.3,1
GA-032,Video,Science,86.9,2,4.9,14.7,9.8,0
GA-033,Animation,Hindi,94.6,0,2.9,7.4,4.5,1
GA-034,Animation,Mathematics,93.1,0,4.0,13.0,9.0,1
GA-035,Image,Science,90.5,1,1.6,4.8,3.2,0
GA-036,Animation,EVS,91.6,0,2.2,4.5,2.3,1
GA-037,Animation,EVS,87.3,0,6.7,21.7,15.0,1
GA-038,Image,GK,86.1,0,7.5,24.2,16.7,1
GA-039,Animation,Hindi,82.0,0,2.7,6.5,3.8,1
GA-040,Animation,Science,96.2,1,3.1,9.2,6.1,0
GA-041,Animation,Mathematics,81.6,3,2.3,5.1,2.8,0
GA-042,Voice,Science,87.7,0,1.6,4.4,2.8,1
GA-043,Video,English,88.5,2,1.6,4.2,2.6,0
GA-044,Animation,Science,90.6,0,2.0,6.6,4.6,1
GA-045,Image,English,79.8,1,5.4,13.3,7.9,0
GA-046,Voice,Hindi,87.3,1,2.8,6.8,4.0,0
GA-047,Animation,EVS,76.8,0,3.4,10.4,7.0,1
GA-048,Image,Hindi,93.5,0,4.9,12.8,7.9,1
GA-049,Image,Science,93.0,0,7.2,17.0,9.8,1
GA-050,Lecture,Mathematics,84.9,0,1.3,4.1,2.8,1
GA-051,Image,Hindi,93.8,0,7.6,14.8,7.2,1
GA-052,Voice,Mathematics,93.0,0,5.3,15.9,10.6,1
GA-053,Voice,Hindi,92.3,2,4.6,9.9,5.3,0
GA-054,Image,Hindi,90.3,1,1.2,3.7,2.5,0
GA-055,Video,Mathematics,91.5,0,6.2,16.7,10.5,1
GA-056,Video,English,88.7,1,4.9,15.7,10.8,0
GA-057,Animation,Hindi,89.4,2,2.1,4.7,2.6,0
GA-058,Video,Science,82.8,0,5.8,16.8,11.0,1
GA-059,Animation,English,87.4,2,7.8,23.8,16.0,0
GA-060,Animation,GK,92.3,0,1.4,4.2,2.8,1
GA-061,Video,English,95.2,0,3.0,9.4,6.4,1
GA-062,Video,English,84.6,0,6.8,17.2,10.4,1
GA-063,Video,Hindi,96.5,0,1.4,2.9,1.5,1
GA-064,Voice,Science,78.3,3,5.6,13.5,7.9,0
GA-065,Voice,Hindi,90.0,3,7.6,14.5,6.9,0
GA-066,Image,Hindi,97.4,1,1.9,4.7,2.8,0
GA-067,Animation,Mathematics,87.4,0,5.3,13.9,8.6,1
GA-068,Animation,Mathematics,88.7,0,1.2,4.0,2.8,1
GA-069,Video,EVS,87.0,1,3.7,6.8,3.1,0
GA-070,Voice,Mathematics,92.9,0,4.6,13.3,8.7,1
GA-071,Voice,English,84.0,1,5.0,10.2,5.2,0
GA-072,Lecture,Hindi,91.5,2,5.1,12.4,7.3,0
GA-073,Voice,Mathematics,86.8,1,2.6,8.1,5.5,0
GA-074,Video,Mathematics,89.5,3,4.7,14.7,10.0,0
GA-075,Video,English,87.4,1,5.7,12.6,6.9,0
GA-076,Voice,English,88.9,0,2.7,5.6,2.9,1
GA-077,Animation,Mathematics,93.8,0,5.4,16.6,11.2,1
GA-078,Animation,EVS,85.3,1,4.6,9.8,5.2,0
GA-079,Image,Science,87.2,1,6.5,13.6,7.1,0
GA-080,Video,GK,86.0,0,7.4,14.2,6.8,1
GA-081,Lecture,Mathematics,89.9,3,7.9,21.9,14.0,0
GA-082,Lecture,English,86.7,0,4.1,13.7,9.6,1
GA-083,Animation,GK,86.1,2,4.3,13.1,8.8,0
GA-084,Video,Hindi,96.5,0,3.1,5.7,2.6,1
GA-085,Voice,Mathematics,90.7,0,3.4,9.1,5.7,1
GA-086,Video,GK,94.4,1,1.6,3.9,2.3,0
GA-087,Image,Science,82.1,2,2.6,6.4,3.8,0
GA-088,Animation,GK,87.0,0,4.4,14.9,10.5,1
GA-089,Animation,Hindi,92.1,1,4.9,14.8,9.9,0
