employee_id,age,gender,department,job_role,job_level,years_at_company,monthly_income,overtime,job_satisfaction,engagement_score,performance_rating,attrition,review_month
EMP0001,52,Male,Sales,Sales Manager,2,2,64500,No,3,72,3.8,No,2026-01
EMP0002,42,Male,Operations,Coordinator,1,0,48500,No,3,72,3.6,No,2026-12
EMP0003,36,Male,Sales,Account Executive,3,5,104500,No,1,82,3.4,No,2026-09
EMP0004,46,Non-binary,Operations,Team Lead,4,8,120000,No,3,91,3.6,No,2026-04
EMP0005,54,Male,Sales,Sales Manager,3,4,89500,Yes,4,89,4.1,No,2026-04
EMP0006,33,Male,Technology,Software Engineer,3,0,95500,No,4,91,4.3,No,2026-09
EMP0007,40,Non-binary,Sales,Account Executive,3,8,98500,No,4,73,4.3,No,2026-01
EMP0008,34,Male,Technology,Data Analyst,2,6,72500,Yes,2,81,3.8,No,2026-05
EMP0009,46,Male,Operations,Coordinator,2,4,76500,Yes,3,67,2.3,No,2026-09
EMP0010,35,Female,Operations,Operations Analyst,3,8,99500,No,4,62,3.6,No,2026-02
EMP0011,44,Non-binary,Technology,Software Engineer,4,7,114500,No,3,96,4.0,No,2026-02
EMP0012,29,Male,Sales,Business Development,1,0,49000,No,4,86,3.4,No,2026-02
EMP0013,52,Male,Finance,Accountant,4,8,135000,No,4,70,3.2,No,2026-04
EMP0014,28,Female,Technology,IT Support,1,0,40000,No,3,54,2.8,Yes,2026-09
EMP0015,58,Non-binary,Technology,Software Engineer,3,4,89500,No,4,81,3.4,No,2026-06
EMP0016,37,Female,Sales,Account Executive,3,5,114500,No,3,71,2.9,No,2026-06
EMP0017,47,Non-binary,Finance,Accountant,3,8,98500,Yes,3,71,3.6,No,2026-08
EMP0018,44,Male,Sales,Account Executive,3,6,104000,No,1,60,2.6,No,2026-05
EMP0019,52,Male,Technology,IT Support,4,5,129500,Yes,3,76,3.5,No,2026-11
EMP0020,53,Male,Operations,Operations Analyst,3,4,111500,No,4,77,4.2,No,2026-08
EMP0021,47,Female,Technology,IT Support,1,3,60000,Yes,3,67,2.6,No,2026-12
EMP0022,48,Male,Sales,Business Development,1,0,44500,Yes,3,78,4.2,No,2026-02
EMP0023,35,Female,Sales,Sales Manager,2,2,74000,Yes,4,91,2.9,Yes,2026-08
EMP0024,28,Non-binary,HR,HR Analyst,2,1,59000,Yes,2,54,4.2,No,2026-02
EMP0025,37,Male,Technology,Data Analyst,1,0,65500,No,3,81,3.8,No,2026-02
EMP0026,33,Male,Technology,IT Support,1,4,58500,No,1,69,3.9,No,2026-07
EMP0027,46,Male,Operations,Coordinator,3,6,94500,Yes,2,47,1.5,No,2026-02
EMP0028,53,Non-binary,Operations,Team Lead,5,5,135500,No,4,80,3.9,No,2026-07
EMP0029,42,Female,Operations,Team Lead,1,7,56500,No,3,82,3.4,No,2026-12
EMP0030,50,Non-binary,HR,Recruiter,3,0,103000,No,3,79,4.7,No,2026-01
EMP0031,32,Male,Sales,Sales Manager,1,2,60500,No,4,77,3.3,No,2026-01
EMP0032,46,Male,HR,Recruiter,2,4,64500,No,3,72,3.8,No,2026-11
EMP0033,47,Female,Technology,Software Engineer,4,7,116500,Yes,3,41,2.6,No,2026-01
EMP0034,56,Female,Technology,Software Engineer,2,7,76000,No,3,83,4.1,No,2026-02
EMP0035,39,Female,Technology,IT Support,5,9,154000,No,2,79,4.2,Yes,2026-09
EMP0036,38,Female,Sales,Account Executive,4,4,130500,No,3,94,3.3,No,2026-01
EMP0037,35,Female,Sales,Account Executive,1,4,48000,No,1,46,3.6,No,2026-08
EMP0038,51,Non-binary,HR,HR Business Partner,5,8,155500,Yes,3,67,3.1,No,2026-07
EMP0039,48,Female,Sales,Business Development,1,1,52000,No,2,72,4.3,No,2026-04
EMP0040,49,Non-binary,Technology,Software Engineer,1,0,33500,No,2,74,3.2,No,2026-09
